"","mean","sd"
"tBodyAccJerk-sma()",-0.64699127583794,0.39270939928907
"tBodyAccJerk-energy()-X",-0.850337515970628,0.214780937496912
"tBodyAccJerk-energy()-Y",-0.827254361855015,0.243041127800684
"tBodyAccJerk-energy()-Z",-0.930710203190173,0.117932196316046
"tBodyAccJerk-iqr()-X",-0.627489707225369,0.429626690012962
"tBodyAccJerk-iqr()-Y",-0.659832855678513,0.375057069629955
"tBodyAccJerk-iqr()-Z",-0.770833756877427,0.266293778738553
"tBodyAccJerk-entropy()-X",-0.0826069359182658,0.652665466225972
"tBodyAccJerk-entropy()-Y",-0.0878825241379454,0.632120056752987
"tBodyAccJerk-entropy()-Z",-0.127330544548232,0.607460459802421
"tBodyAccJerk-arCoeff()-X,1",-0.108572863267843,0.303579770359896
"tBodyAccJerk-arCoeff()-X,2",0.169659030981525,0.192419625461438
"tBodyAccJerk-arCoeff()-X,3",0.0676044397361048,0.24145294045136
"tBodyAccJerk-arCoeff()-X,4",0.126467828047418,0.195963055005121
"tBodyAccJerk-arCoeff()-Y,1",-0.0727178062014458,0.268178318108628
"tBodyAccJerk-arCoeff()-Y,2",0.0686944741749914,0.217858174917094
"tBodyAccJerk-arCoeff()-Y,3",0.174527859893127,0.237786650731578
"tBodyAccJerk-arCoeff()-Y,4",0.3143158162243,0.20253905841849
"tBodyAccJerk-arCoeff()-Z,1",-0.0326917241350285,0.27177459517809
"tBodyAccJerk-arCoeff()-Z,2",0.0886842849822925,0.196581769342212
"tBodyAccJerk-arCoeff()-Z,3",-0.00103868688344055,0.224184075440338
"tBodyAccJerk-arCoeff()-Z,4",0.138471148717396,0.239589441773602
"tBodyAccJerk-correlation()-X,Y",-0.138122992805529,0.257668984379244
"tBodyAccJerk-correlation()-X,Z",0.00302530439893155,0.293081146512313
"tBodyAccJerk-correlation()-Y,Z",0.0803171281290155,0.277203281793459
"tBodyGyro-mean()-X",-0.0309824871713436,0.183186086288647
"tBodyGyro-mean()-Y",-0.0747194855994359,0.134317132299449
"tBodyGyro-mean()-Z",0.088357304227173,0.134875256324883
"tBodyGyro-std()-X",-0.721192598029789,0.301027072676107
"tBodyGyro-std()-Y",-0.682653506899942,0.356884535690522
"tBodyGyro-std()-Z",-0.653665674372188,0.372606080407907
"tBodyGyro-mad()-X",-0.726484836848539,0.297645033607044
"tBodyGyro-mad()-Y",-0.694534110096304,0.344406999597297
"tBodyGyro-mad()-Z",-0.667209748107764,0.361793462833175
"tBodyGyro-max()-X",-0.64548527449658,0.276429784460986
"tBodyGyro-max()-Y",-0.737977312189729,0.266151472447876
"tBodyGyro-max()-Z",-0.484188693115124,0.303126283256269
"tBodyGyro-min()-X",0.632263659095572,0.251194972497014
"tBodyGyro-min()-Y",0.734258066662152,0.211607523342656
"tBodyGyro-min()-Z",0.559247778213168,0.307942562626276
"tBodyGyro-sma()",-0.602748673125558,0.402105789442166
"tBodyGyro-energy()-X",-0.901636957062326,0.142692686110331
"tBodyGyro-energy()-Y",-0.884235450188455,0.190265776004035
"tBodyGyro-energy()-Z",-0.872984368242422,0.190199566846059
"tBodyGyro-iqr()-X",-0.729225040963895,0.30220092536194
"tBodyGyro-iqr()-Y",-0.717202660698654,0.325276016579143
"tBodyGyro-iqr()-Z",-0.720239479300788,0.316308804415312
"tBodyGyro-entropy()-X",-0.144916600805163,0.454511781080564
"tBodyGyro-entropy()-Y",-0.0992485937860931,0.370511763604176
"tBodyGyro-entropy()-Z",-0.0632542895391766,0.456048674677578
"tBodyGyro-arCoeff()-X,1",-0.222861867348975,0.276496091050377
"tBodyGyro-arCoeff()-X,2",0.147739198267393,0.227004030736351
"tBodyGyro-arCoeff()-X,3",0.128497150520195,0.229329741439315
"tBodyGyro-arCoeff()-X,4",-0.0803058186736978,0.240801877363241
"tBodyGyro-arCoeff()-Y,1",-0.204786157644309,0.208650205855494
"tBodyGyro-arCoeff()-Y,2",0.169678404244605,0.191658715040967
"tBodyGyro-arCoeff()-Y,3",-0.0424613426990677,0.228433080110184
"tBodyGyro-arCoeff()-Y,4",0.141698297542868,0.217287608124045
"tBodyGyro-arCoeff()-Z,1",-0.085098503172116,0.312805142470109
"tBodyGyro-arCoeff()-Z,2",0.0667301860927464,0.282266820145649
"tBodyGyro-arCoeff()-Z,3",-0.00792375249314584,0.267674531495816
"tBodyGyro-arCoeff()-Z,4",0.146419131220679,0.258314094052369
"tBodyGyro-correlation()-X,Y",-0.169335663346868,0.382195177870201
"tBodyGyro-correlation()-X,Z",0.0143461720708445,0.386478106522487
"tBodyGyro-correlation()-Y,Z",-0.105693035967995,0.417606009920807
"tBodyGyroJerk-mean()-X",-0.0967092754729682,0.128134958190288
"tBodyGyroJerk-mean()-Y",-0.0423181079782632,0.114409175563585
"tBodyGyroJerk-mean()-Z",-0.0548303497968374,0.12889560784934
"tBodyGyroJerk-std()-X",-0.731348533131935,0.303815898902629
"tBodyGyroJerk-std()-Y",-0.786062320321895,0.272715680791952
"tBodyGyroJerk-std()-Z",-0.739932395222129,0.301994176894438
"tBodyGyroJerk-mad()-X",-0.730002664153494,0.306559795984482
"tBodyGyroJerk-mad()-Y",-0.796578518731355,0.257725623482464
"tBodyGyroJerk-mad()-Z",-0.746637006996126,0.292927335711068
"tBodyGyroJerk-max()-X",-0.747265427689844,0.290949057241249
"tBodyGyroJerk-max()-Y",-0.809908325963061,0.253273961093559
"tBodyGyroJerk-max()-Z",-0.742689151304914,0.305855850284076
"tBodyGyroJerk-min()-X",0.760591617745632,0.279510466890763
"tBodyGyroJerk-min()-Y",0.83027549261874,0.227971626142811
"tBodyGyroJerk-min()-Z",0.799424779207836,0.247887032678517
"tBodyGyroJerk-sma()",-0.766813796605217,0.269257703478079
"tBodyGyroJerk-energy()-X",-0.916934348894223,0.133008556965581
"tBodyGyroJerk-energy()-Y",-0.939545115888378,0.132139714520881
"tBodyGyroJerk-energy()-Z",-0.919501877565938,0.134139856450553
"tBodyGyroJerk-iqr()-X",-0.737540121153577,0.30189996012633
"tBodyGyroJerk-iqr()-Y",-0.808763717176308,0.242247314207369
"tBodyGyroJerk-iqr()-Z",-0.766349715087751,0.271443866207107
"tBodyGyroJerk-entropy()-X",-0.015190658579531,0.564853287457401
"tBodyGyroJerk-entropy()-Y",0.0186689432880076,0.544319919128172
"tBodyGyroJerk-entropy()-Z",-0.0151123062176901,0.58073637326237
"tBodyGyroJerk-arCoeff()-X,1",-0.072476393634415,0.250222388359969
"tBodyGyroJerk-arCoeff()-X,2",0.0409185929438137,0.185707231792612
"tBodyGyroJerk-arCoeff()-X,3",0.159666872922338,0.211541497585018
"tBodyGyroJerk-arCoeff()-X,4",0.164731000845581,0.211124363592228
"tBodyGyroJerk-arCoeff()-Y,1",-0.162364494080083,0.21435487419394
"tBodyGyroJerk-arCoeff()-Y,2",0.200174940317975,0.16705097916226
"tBodyGyroJerk-arCoeff()-Y,3",0.0835283576270254,0.19710565014392
"tBodyGyroJerk-arCoeff()-Y,4",0.0802492405843008,0.245042597818742
"tBodyGyroJerk-arCoeff()-Z,1",-0.0286536933575332,0.3432261736239
"tBodyGyroJerk-arCoeff()-Z,2",0.052383068816264,0.232346183628015
"tBodyGyroJerk-arCoeff()-Z,3",0.0888026271256925,0.246395517886876
"tBodyGyroJerk-arCoeff()-Z,4",0.0335305237509215,0.247741633044611
"tBodyGyroJerk-correlation()-X,Y",0.036939291384175,0.276621839963699
"tBodyGyroJerk-correlation()-X,Z",0.0492723572603522,0.266925451540913
"tBodyGyroJerk-correlation()-Y,Z",-0.113625269936235,0.259522039359
"tBodyAccMag-mean()",-0.54822165976717,0.467093741712107
"tBodyAccMag-std()",-0.591225327146546,0.429431345143224
"tBodyAccMag-mad()",-0.642655227166232,0.374670154679935
"tBodyAccMag-max()",-0.558632605228031,0.461239470509056
"tBodyAccMag-min()",-0.837828098220041,0.190264485082627
"tBodyAccMag-sma()",-0.54822165976717,0.467093741712107
"tBodyAccMag-energy()",-0.777465766425847,0.280319315848312
"tBodyAccMag-iqr()",-0.702589578546208,0.314228061627684
"tBodyAccMag-entropy()",0.132813314452206,0.669369329035053
"tBodyAccMag-arCoeff()1",-0.0695394969837687,0.290437140089988
"tBodyAccMag-arCoeff()2",0.0240420207662277,0.234723767961185
"tBodyAccMag-arCoeff()3",0.05858262032553,0.253225342133015
"tBodyAccMag-arCoeff()4",-0.0578901254381161,0.263116394394965
"tGravityAccMag-mean()",-0.54822165976717,0.467093741712107
"tGravityAccMag-std()",-0.591225327146546,0.429431345143224
"tGravityAccMag-mad()",-0.642655227166232,0.374670154679935
"tGravityAccMag-max()",-0.558632605228031,0.461239470509056
"tGravityAccMag-min()",-0.837828098220041,0.190264485082627
"tGravityAccMag-sma()",-0.54822165976717,0.467093741712107
"tGravityAccMag-energy()",-0.777465766425847,0.280319315848312
"tGravityAccMag-iqr()",-0.702589578546208,0.314228061627684
"tGravityAccMag-entropy()",0.132813314452206,0.669369329035053
"tGravityAccMag-arCoeff()1",-0.0695394969837687,0.290437140089988
"tGravityAccMag-arCoeff()2",0.0240420207662277,0.234723767961185
"tGravityAccMag-arCoeff()3",0.05858262032553,0.253225342133015
"tGravityAccMag-arCoeff()4",-0.0578901254381161,0.263116394394965
"tBodyAccJerkMag-mean()",-0.649417950650692,0.389494205866934
"tBodyAccJerkMag-std()",-0.627762945785391,0.41722133114306
"tBodyAccJerkMag-mad()",-0.646943532929861,0.397542367567997
"tBodyAccJerkMag-max()",-0.638701760021827,0.403500090985516
"tBodyAccJerkMag-min()",-0.787591449073425,0.255703265065146
"tBodyAccJerkMag-sma()",-0.649417950650692,0.389494205866934
"tBodyAccJerkMag-energy()",-0.851143395900557,0.205787700477637
"tBodyAccJerkMag-iqr()",-0.69921697627519,0.34308333832944
"tBodyAccJerkMag-entropy()",-0.0616317492433916,0.7239171315296
"tBodyAccJerkMag-arCoeff()1",0.0787587421124073,0.243614836418721
"tBodyAccJerkMag-arCoeff()2",-0.0290364285833284,0.244578662918016
"tBodyAccJerkMag-arCoeff()3",-0.0911724607428804,0.240887779922534
"tBodyAccJerkMag-arCoeff()4",-0.0416730463538826,0.259900232474336
"tBodyGyroMag-mean()",-0.60524856977632,0.399709556285823
"tBodyGyroMag-std()",-0.662533062898382,0.349224601712275
"tBodyGyroMag-mad()",-0.630193402078694,0.381097604567272
"tBodyGyroMag-max()",-0.695172383775572,0.318988506908617
"tBodyGyroMag-min()",-0.730011545895564,0.312645474311408
"tBodyGyroMag-sma()",-0.60524856977632,0.399709556285823
"tBodyGyroMag-energy()",-0.834836825445684,0.220879983833568
"tBodyGyroMag-iqr()",-0.653655028888805,0.359986445987273
"tBodyGyroMag-entropy()",0.235401959044138,0.481818402119967
"tBodyGyroMag-arCoeff()1",-0.0244571230785569,0.297265770100673
"tBodyGyroMag-arCoeff()2",-0.0692356651424385,0.26685852475057
"tBodyGyroMag-arCoeff()3",0.107610540547602,0.251525373304158
"tBodyGyroMag-arCoeff()4",-0.0544489729651971,0.250833164614575
"tBodyGyroJerkMag-mean()",-0.762137610987416,0.276514503019
"tBodyGyroJerkMag-std()",-0.77799317279698,0.271590190956826
"tBodyGyroJerkMag-mad()",-0.792588947506114,0.250703428717846
"tBodyGyroJerkMag-max()",-0.784624704719959,0.26789628467638
"tBodyGyroJerkMag-min()",-0.802863364860258,0.247797541995129
"tBodyGyroJerkMag-sma()",-0.762137610987416,0.276514503019
"tBodyGyroJerkMag-energy()",-0.931909308973114,0.121024928301067
"tBodyGyroJerkMag-iqr()",-0.806533411928684,0.23134834742446
"tBodyGyroJerkMag-entropy()",0.130669261885486,0.69243555001149
"tBodyGyroJerkMag-arCoeff()1",0.286483344408255,0.239628689635589
"tBodyGyroJerkMag-arCoeff()2",-0.226942639689219,0.209169775053572
"tBodyGyroJerkMag-arCoeff()3",-0.0574848482542525,0.2286080031675
"tBodyGyroJerkMag-arCoeff()4",-0.106689656521658,0.250721420188767
"fBodyAcc-mean()-X",-0.622761658493734,0.420794621128506
"fBodyAcc-mean()-Y",-0.53749328145871,0.481681850416162
"fBodyAcc-mean()-Z",-0.665033506271952,0.358853083334195
"fBodyAcc-std()-X",-0.603356276555826,0.446792819087921
"fBodyAcc-std()-Y",-0.528420009576204,0.479924986365809
"fBodyAcc-std()-Z",-0.617874813333395,0.398973184544622
"fBodyAcc-mad()-X",-0.590772247453255,0.457337669712656
"fBodyAcc-mad()-Y",-0.522201179756627,0.496560951901915
"fBodyAcc-mad()-Z",-0.632332520921891,0.389521715735304
"fBodyAcc-max()-X",-0.65154376602265,0.405419287323588
"fBodyAcc-max()-Y",-0.65808060619233,0.353696003322966
"fBodyAcc-max()-Z",-0.6356763001165,0.389762184679926
"fBodyAcc-min()-X",-0.855993019418745,0.227079686856958
"fBodyAcc-min()-Y",-0.880225566673813,0.179749718000523
"fBodyAcc-min()-Z",-0.913777010275483,0.129492746443668
"fBodyAcc-sma()",-0.555229161044815,0.471733762538129
"fBodyAcc-energy()-X",-0.825931263823377,0.246980411760048
"fBodyAcc-energy()-Y",-0.752468625264045,0.313578753739048
"fBodyAcc-energy()-Z",-0.839857719209846,0.226483946924008
"fBodyAcc-iqr()-X",-0.652568872132058,0.399048161548694
"fBodyAcc-iqr()-Y",-0.649906038978557,0.391039311909653
"fBodyAcc-iqr()-Z",-0.746767586701156,0.290376691529323
"fBodyAcc-entropy()-X",-0.200288915579336,0.722956285792099
"fBodyAcc-entropy()-Y",-0.183854707645966,0.666176279253215
"fBodyAcc-entropy()-Z",-0.204846236250567,0.611046615844168
"fBodyAcc-maxInds-X",-0.759939109518303,0.265433351778418
"fBodyAcc-maxInds-Y",-0.797313654388096,0.242632780780214
"fBodyAcc-maxInds-Z",-0.843845928996699,0.239720774286384
"fBodyAcc-meanFreq()-X",-0.2214691368263,0.26458578361303
"fBodyAcc-meanFreq()-Y",0.015400588735675,0.240846041776942
"fBodyAcc-meanFreq()-Z",0.0473098698476722,0.283784833517026
"fBodyAcc-skewness()-X",-0.135853217991138,0.400580462118842
"fBodyAcc-kurtosis()-X",-0.465003677724666,0.440957159611545
"fBodyAcc-skewness()-Y",-0.268046531941767,0.356135668734044
"fBodyAcc-kurtosis()-Y",-0.582227005482365,0.385358607024831
"fBodyAcc-skewness()-Z",-0.241171035011655,0.401418653141027
"fBodyAcc-kurtosis()-Z",-0.47953961978932,0.411509518646186
"fBodyAcc-bandsEnergy()-1,8",-0.818036094654419,0.268049244635717
"fBodyAcc-bandsEnergy()-9,16",-0.887510890695611,0.175574546490452
"fBodyAcc-bandsEnergy()-17,24",-0.858270655333126,0.22595659316272
"fBodyAcc-bandsEnergy()-25,32",-0.894101771797625,0.182374943556856
"fBodyAcc-bandsEnergy()-33,40",-0.914978953766618,0.141754856477116
"fBodyAcc-bandsEnergy()-41,48",-0.912811112066307,0.149452424812787
"fBodyAcc-bandsEnergy()-49,56",-0.946035198276046,0.102352025955512
"fBodyAcc-bandsEnergy()-57,64",-0.955802655168521,0.117410503838339
"fBodyAcc-bandsEnergy()-1,16",-0.821594785604625,0.256918197777235
"fBodyAcc-bandsEnergy()-17,32",-0.846779479853457,0.239033840793416
"fBodyAcc-bandsEnergy()-33,48",-0.914180750442373,0.139667995517364
"fBodyAcc-bandsEnergy()-49,64",-0.949309009464414,0.103752222057419
"fBodyAcc-bandsEnergy()-1,24",-0.824203169833818,0.249922838370191
"fBodyAcc-bandsEnergy()-25,48",-0.883133272385076,0.18954740456241
"fBodyAcc-bandsEnergy()-1,8",-0.787763224118613,0.274178685867271
"fBodyAcc-bandsEnergy()-9,16",-0.847368636830407,0.238813413300957
"fBodyAcc-bandsEnergy()-17,24",-0.860289572407185,0.219065930015435
"fBodyAcc-bandsEnergy()-25,32",-0.902754373244198,0.164341036307951
"fBodyAcc-bandsEnergy()-33,40",-0.897368801716749,0.172672984033912
"fBodyAcc-bandsEnergy()-41,48",-0.882704595718613,0.188237923526611
"fBodyAcc-bandsEnergy()-49,56",-0.902469620378678,0.169896071522117
"fBodyAcc-bandsEnergy()-57,64",-0.951462674819691,0.13103197497212
"fBodyAcc-bandsEnergy()-1,16",-0.758868807775291,0.308334004678804
"fBodyAcc-bandsEnergy()-17,32",-0.8368979149308,0.250317585417165
"fBodyAcc-bandsEnergy()-33,48",-0.880006008141197,0.190630748271994
"fBodyAcc-bandsEnergy()-49,64",-0.919977986946534,0.151736876386971
"fBodyAcc-bandsEnergy()-1,24",-0.7549929507442,0.310965222381449
"fBodyAcc-bandsEnergy()-25,48",-0.890747004278279,0.173615836096987
"fBodyAcc-bandsEnergy()-1,8",-0.857233732741213,0.215748031314188
"fBodyAcc-bandsEnergy()-9,16",-0.899391173398029,0.174639068481919
"fBodyAcc-bandsEnergy()-17,24",-0.925811181549034,0.14404687855254
"fBodyAcc-bandsEnergy()-25,32",-0.961894261804253,0.0803364672488173
"fBodyAcc-bandsEnergy()-33,40",-0.963850562103214,0.076903193326432
"fBodyAcc-bandsEnergy()-41,48",-0.937673872739654,0.117720784383582
"fBodyAcc-bandsEnergy()-49,56",-0.941636653396543,0.110637406236543
"fBodyAcc-bandsEnergy()-57,64",-0.957863701978755,0.115216812662224
"fBodyAcc-bandsEnergy()-1,16",-0.853460606155306,0.21224469908759
"fBodyAcc-bandsEnergy()-17,32",-0.938914853717011,0.115957814265742
"fBodyAcc-bandsEnergy()-33,48",-0.954521835989416,0.0896102432927307
"fBodyAcc-bandsEnergy()-49,64",-0.946014525351976,0.106678350264701
"fBodyAcc-bandsEnergy()-1,24",-0.843297377965599,0.222605242699118
"fBodyAcc-bandsEnergy()-25,48",-0.959808394165162,0.0804755822139265
"fBodyAccJerk-mean()-X",-0.656713524546605,0.389994623739824
"fBodyAccJerk-mean()-Y",-0.628961179980356,0.407300107685122
"fBodyAccJerk-mean()-Z",-0.743608246170053,0.297708213609458
"fBodyAccJerk-std()-X",-0.654979816705833,0.393291807713421
"fBodyAccJerk-std()-Y",-0.612243590244114,0.433524948432751
"fBodyAccJerk-std()-Z",-0.780928428167213,0.259543592492186
"fBodyAccJerk-mad()-X",-0.594990831765785,0.459876681184327
"fBodyAccJerk-mad()-Y",-0.624021157206917,0.417987786054582
"fBodyAccJerk-mad()-Z",-0.764487260336202,0.276595859686707
"fBodyAccJerk-max()-X",-0.711609033648731,0.33839151424544
"fBodyAccJerk-max()-Y",-0.682104723953501,0.364272710188163
"fBodyAccJerk-max()-Z",-0.801159275192704,0.24323758161474
"fBodyAccJerk-min()-X",-0.882722042078124,0.186986004991425
"fBodyAccJerk-min()-Y",-0.860233763381636,0.213510827826676
"fBodyAccJerk-min()-Z",-0.884441536616856,0.178537995797941
"fBodyAccJerk-sma()",-0.620250098992747,0.421120867227454
"fBodyAccJerk-energy()-X",-0.850154122443228,0.215064757588632
"fBodyAccJerk-energy()-Y",-0.827338557560067,0.242949051905427
"fBodyAccJerk-energy()-Z",-0.930738116017043,0.117907135682107
"fBodyAccJerk-iqr()-X",-0.634120706978587,0.422059257571598
"fBodyAccJerk-iqr()-Y",-0.719893556985737,0.312254345464676
"fBodyAccJerk-iqr()-Z",-0.771494743232887,0.266964477046026
"fBodyAccJerk-entropy()-X",-0.266934403181862,0.749480051999786
"fBodyAccJerk-entropy()-Y",-0.265555351903177,0.734307330277739
"fBodyAccJerk-entropy()-Z",-0.365422543326297,0.638714670479462
"fBodyAccJerk-maxInds-X",-0.414055733566366,0.321560408826187
"fBodyAccJerk-maxInds-Y",-0.396892902223517,0.26538615069277
"fBodyAccJerk-maxInds-Z",-0.324540246625886,0.293475980123875
"fBodyAccJerk-meanFreq()-X",-0.0477062917542325,0.295541570708683
"fBodyAccJerk-meanFreq()-Y",-0.213392904926883,0.272186281568714
"fBodyAccJerk-meanFreq()-Z",-0.123828014584147,0.273353750555325
"fBodyAccJerk-skewness()-X",-0.315459909295403,0.256424716506151
"fBodyAccJerk-kurtosis()-X",-0.713192262788805,0.209276176460826
"fBodyAccJerk-skewness()-Y",-0.399771004761536,0.187970292590387
"fBodyAccJerk-kurtosis()-Y",-0.823099370133193,0.140864045918551
"fBodyAccJerk-skewness()-Z",-0.487741785527415,0.198982496230555
"fBodyAccJerk-kurtosis()-Z",-0.815881292637033,0.150041336233416
"fBodyAccJerk-bandsEnergy()-1,8",-0.867790166049472,0.210159728411967
"fBodyAccJerk-bandsEnergy()-9,16",-0.886610577630741,0.173441850115206
"fBodyAccJerk-bandsEnergy()-17,24",-0.873657339011977,0.203859625365095
"fBodyAccJerk-bandsEnergy()-25,32",-0.897512744293261,0.179703936239465
"fBodyAccJerk-bandsEnergy()-33,40",-0.921781011230935,0.132048068737038
"fBodyAccJerk-bandsEnergy()-41,48",-0.90298054491246,0.16386748098724
"fBodyAccJerk-bandsEnergy()-49,56",-0.945086711251772,0.100975670348718
"fBodyAccJerk-bandsEnergy()-57,64",-0.984548947264492,0.053589232441562
"fBodyAccJerk-bandsEnergy()-1,16",-0.86824127624315,0.193510476008809
"fBodyAccJerk-bandsEnergy()-17,32",-0.854673657378944,0.229737319603009
"fBodyAccJerk-bandsEnergy()-33,48",-0.907546665670317,0.149855370434001
"fBodyAccJerk-bandsEnergy()-49,64",-0.943050607583843,0.104611518870946
"fBodyAccJerk-bandsEnergy()-1,24",-0.846111263779328,0.219708658663897
