"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180"
"tBodyAccJerkMag-arCoeff()2","-0.104514120","-0.166783286","-0.069851696"," 0.012683840"," 0.169010705","-0.077562474"," 0.185510718"," 0.215482019"," 0.065827630","-0.168420714"," 0.113072842","-0.008660838"," 0.037402233"," 0.055109698","-0.008016042"," 0.095192305"," 0.035310819"," 0.027534590","-0.023749662"," 0.177190252"," 0.018828141","-0.209934718"," 0.029352313"," 0.066730792"," 0.007873713","-0.116169291"," 0.101487201"," 0.017158819","-0.016250098"," 0.044216760"," 0.262006846"," 0.052292144"," 0.093599449"," 0.154151612"," 0.265305878"," 0.307374438"," 0.293085240"," 0.052821097"," 0.252344436"," 0.015387694"," 0.236238850"," 0.136763281"," 0.208582599"," 0.146649202"," 0.245730055"," 0.324283359"," 0.280206925"," 0.261659218"," 0.120297998"," 0.375011372"," 0.112560953"," 0.046156297"," 0.134429044"," 0.163147940"," 0.233832590"," 0.086794779"," 0.204929072"," 0.104017616"," 0.283903153"," 0.380941187","-0.051645432"," 0.082564566"," 0.132264562"," 0.136455362"," 0.168861632"," 0.241588699"," 0.203014334","-0.094741537"," 0.268988671"," 0.066642179"," 0.256142289"," 0.083144880"," 0.165369022","-0.002673596"," 0.424838272"," 0.206561155"," 0.323602879"," 0.181371503"," 0.126739676"," 0.243033354"," 0.254807325"," 0.229115654"," 0.166110314"," 0.099602524"," 0.171420590"," 0.074082254"," 0.206517736"," 0.074406801"," 0.130473757"," 0.152924259","-0.234367222","-0.186253849","-0.165988054","-0.163726407","-0.111071628","-0.103987583","-0.097256573","-0.224793921","-0.042622019","-0.201115035","-0.202069662","-0.104897706","-0.177103500"," 0.000086657","-0.206303006","-0.197824031","-0.214337260","-0.220301001","-0.099064371","-0.074406059","-0.159668689","-0.173403758","-0.195636093","-0.181145647","-0.161813793","-0.134736583","-0.140665907","-0.088233287","-0.184511479","-0.151954087","-0.256406760","-0.215646690","-0.065562865","-0.140122747","-0.117207865","-0.147085914","-0.081490214","-0.184276886","-0.144132093","-0.094203450","-0.152390642","-0.067378167","-0.172340233","-0.065898340","-0.101093416","-0.183953136","-0.218485876","-0.138634088","-0.170238969"," 0.006026040","-0.091379568","-0.043495496","-0.121191668","-0.168755714","-0.136477510","-0.128663261","-0.191894471","-0.087490766","-0.216603991"," 0.018584123","-0.145789216","-0.239683774","-0.181017838","-0.194622903","-0.288201104","-0.217086920","-0.118475523","-0.167142117","-0.032881961","-0.188315551","-0.193683154","-0.122658959","-0.228355483","-0.073875176","-0.141810166","-0.170577271","-0.227273909","-0.178138342","-0.200207016","-0.167161796","-0.160784723","-0.138006037","-0.253094700","-0.167170086","-0.028048587","-0.224545655","-0.180349986","-0.161955343","-0.196823768","-0.131756181"
"tBodyAccJerkMag-arCoeff()3","-0.2249341413","-0.4857439061"," 0.1179318882","-0.0876985371","-0.1137045467"," 0.1220574900","-0.1338293874","-0.0595488945"," 0.0146883366","-0.0253479758","-0.2934199866","-0.1874528438","-0.0361525079"," 0.0521946403","-0.1564810260","-0.1162338812","-0.1644506545","-0.2463831790","-0.1954138511","-0.2927929911","-0.3922629521","-0.0221829887","-0.1682563243","-0.2444361345","-0.1663730192"," 0.0328302345","-0.1386305044","-0.1348409908","-0.0352497000","-0.2292356716","-0.3169970643","-0.2050595805","-0.2151410461"," 0.1102310388","-0.1896413244","-0.0018451872","-0.2888002130","-0.1636052639","-0.0372099246","-0.1178756194","-0.0224934827","-0.2309434172"," 0.0587310527","-0.0289054133","-0.0727687833","-0.2075855113"," 0.0282705488","-0.0160302507","-0.1313042498","-0.0454465035","-0.2163647439","-0.2031508360","-0.1731044478","-0.1935400716","-0.1096895457","-0.1674290232"," 0.0192618324","-0.2098672959","-0.2284302743","-0.1061229662","-0.0168914738"," 0.0056505323","-0.1472332661","-0.1667647001","-0.0666935852","-0.1405476134","-0.1364767533","-0.2012546086"," 0.1208091849","-0.1282907588","-0.0608389066","-0.1011478597","-0.1471886364","-0.0694349750","-0.0729308222","-0.1276789089"," 0.0702377915","-0.1452707537"," 0.0304857879","-0.0264328847"," 0.1370939864","-0.0602519006","-0.1019472867","-0.3707305485","-0.0805889082","-0.0752490049","-0.1384103891","-0.1021180988","-0.0279939541","-0.0030384817","-0.0308317942","-0.0316423666","-0.0734615668","-0.1528605908","-0.2260812290","-0.1852540328","-0.0362168975","-0.0755832994","-0.0289519499","-0.0518382468"," 0.0078030271","-0.1446545296","-0.0779292378","-0.0666761271","-0.0910254994","-0.0473711684","-0.0599572558","-0.0884809383","-0.0937010599","-0.0001556305","-0.0448305239","-0.0736695528"," 0.0029408184","-0.0697842014"," 0.0503315919","-0.0942023501","-0.0864393594","-0.1284271664","-0.0638315145","-0.0931760520","-0.0549539896","-0.0477483902"," 0.0101650289","-0.1305621800","-0.0691116718","-0.0928018445","-0.0610880063","-0.0159500613","-0.0307384019","-0.0066606218","-0.0419020021","-0.1101846057","-0.1032520791","-0.0350767367","-0.0608529923","-0.0065980474","-0.0255550286","-0.0193637665","-0.1030850484","-0.0838878975","-0.0368976250","-0.0328008283","-0.0703728013","-0.1345612618","-0.0585087664","-0.0517546825","-0.0733012087","-0.0753418878"," 0.0288922954","-0.0739485455","-0.1116110260","-0.0847222940","-0.1037419527","-0.1814600902","-0.0442160630","-0.1401725708","-0.0904471952","-0.1143338086","-0.0588541087"," 0.0121403244"," 0.0222872870","-0.2435107894","-0.1920248289","-0.0648306475","-0.0767992694","-0.0854000197","-0.0661282582","-0.1471541168","-0.1689182542","-0.1590617005","-0.0378503936","-0.0432398610","-0.1295929636","-0.1197018817","-0.0540840763","-0.0130712310","-0.1172193514","-0.0460061504","-0.0581287917"," 0.0335996151"
"tBodyAccJerkMag-arCoeff()4"," 0.204177664"," 0.376830517"," 0.140266423"," 0.065126778","-0.013622167"," 0.058358381"," 0.079414205","-0.326515999","-0.064585909"," 0.264758168"," 0.065313047"," 0.159515407"," 0.043460710","-0.172599974"," 0.128364283"," 0.045418907"," 0.030782518"," 0.115628822"," 0.196868843"," 0.109784248"," 0.317971568"," 0.301967843","-0.199181289"," 0.060280008","-0.030673070"," 0.005413841","-0.060263666","-0.047154095"," 0.180642210"," 0.069081835"," 0.022801333"," 0.208626131"," 0.064212428","-0.101510168","-0.113782669","-0.096433786"," 0.050649634","-0.109103119","-0.181009621","-0.027134742","-0.161096308"," 0.089811324","-0.085091104","-0.115999836","-0.181549317","-0.081259102","-0.042330425","-0.089219742","-0.220479513","-0.385810860"," 0.018123023"," 0.137854905","-0.034910413"," 0.061962558","-0.035517134"," 0.251510270","-0.199060923","-0.005592373"," 0.048093544","-0.164603000"," 0.110971354","-0.027361318"," 0.015720959"," 0.012869224","-0.130085884","-0.113609100"," 0.105238108"," 0.135326652","-0.133525868"," 0.103247673","-0.051016367"," 0.011283040"," 0.055790521"," 0.149135238","-0.036339844"," 0.107366862","-0.068767576"," 0.031210951","-0.129526303","-0.021116554","-0.257290969","-0.077578909","-0.132286574"," 0.176440421","-0.091727432"," 0.105374819","-0.042830118"," 0.008779696"," 0.022816336"," 0.029640820","-0.060313731","-0.050293781","-0.087452911","-0.029482201"," 0.021899875","-0.037203041","-0.036213696","-0.043690071","-0.124840094","-0.083358446","-0.078467943","-0.098320947","-0.091232068","-0.161417007"," 0.043296807","-0.063269067","-0.080063890","-0.155790066","-0.113047324","-0.192631624","-0.120156676","-0.043780960"," 0.016647671","-0.110284127","-0.159336652","-0.092517547","-0.126654485","-0.067392057","-0.089698034","-0.061029225","-0.128163099","-0.095906528","-0.109356570"," 0.027133383","-0.079744809","-0.067807139","-0.130416147","-0.125651955","-0.101200527","-0.193682019","-0.156079367","-0.062916941","-0.064946044","-0.217213953","-0.175215765","-0.167553225","-0.150966020","-0.217346228","-0.030457323"," 0.006476932","-0.189989290","-0.135528913","-0.110327257","-0.035207943","-0.197975599","-0.061275668","-0.044519183","-0.055033432","-0.168985769","-0.099626490","-0.078990927","-0.055476479","-0.001376492","-0.014972678"," 0.120529659"," 0.041902239","-0.058356134","-0.098225251","-0.173109168","-0.161957724","-0.140573953"," 0.092230310"," 0.017263531","-0.140466546","-0.094976682","-0.109713809","-0.095384980","-0.034885455"," 0.107692771"," 0.014973425","-0.094978897","-0.109059424"," 0.092143411","-0.030397885","-0.157871188","-0.078472149","-0.115565346","-0.096237401","-0.174869475","-0.135074118"
"tBodyGyroMag-mean()","-0.160979553","-0.446549093","-0.466411754","-0.497792201","-0.355933084","-0.281207841","-0.305959351","-0.003102438","-0.294542267","-0.156458730","-0.421801674","-0.355930365","-0.218669558","-0.137208742","-0.243711124","-0.485931933","-0.335009837","-0.500471148"," 0.100045071"," 0.068627515","-0.284775645","-0.210608044","-0.012096826","-0.403064157","-0.394362401","-0.392092024","-0.396638754","-0.310775946","-0.280573268","-0.022964080","-0.126735590","-0.219713473","-0.347321812","-0.299779408","-0.235516929","-0.129121244","-0.239099166"," 0.166447991","-0.083323449"," 0.043857385","-0.255048337","-0.316561586","-0.237182958"," 0.365779419","-0.201217274","-0.308260568","-0.235191249","-0.369108600","-0.061615771"," 0.022330254","-0.168982721","-0.128031924","-0.156527149","-0.334435840","-0.318634700","-0.344427048","-0.286145720","-0.263415283"," 0.043962768","-0.113608367","-0.075741254","-0.162188587","-0.215294501","-0.346606293","-0.218029835"," 0.014267782","-0.188740819"," 0.099342974","-0.168921401","-0.023846804","-0.197883360","-0.213351511","-0.102114481"," 0.166340012","-0.121686321","-0.309820427","-0.232641763","-0.381022815"," 0.418004609"," 0.093841944","-0.184850020","-0.161333310"," 0.039091548","-0.304965806","-0.216082566","-0.235314623","-0.164783207","-0.068246324","-0.122968109","-0.095537321","-0.930892490","-0.946035087","-0.919354372","-0.926063314","-0.934301647","-0.932703812","-0.897870535","-0.932682243","-0.903235537","-0.944202044","-0.951884472","-0.941907241","-0.951142644","-0.942756369","-0.957331628","-0.946417382","-0.967177744","-0.977634992","-0.942229044","-0.939574436","-0.964971114","-0.942077433","-0.936593427","-0.964633252","-0.966568719","-0.954052946","-0.963565474","-0.955175567","-0.962377332","-0.955847324","-0.976493793","-0.963466342","-0.892089349","-0.900982101","-0.900671631","-0.939404744","-0.943425565","-0.952848497","-0.921030223","-0.929787260","-0.979978011","-0.888101373","-0.957825372","-0.943530017","-0.946961381","-0.972528178","-0.978184577","-0.963006793","-0.941745041","-0.883675029","-0.949837152","-0.931624304","-0.938430293","-0.954518594","-0.967077443","-0.968673956","-0.968702957","-0.894242470","-0.980657340","-0.913890565","-0.874759548","-0.950011570","-0.951564751","-0.930236463","-0.946938301","-0.908980175","-0.915793635","-0.924253349","-0.907125100","-0.937590999","-0.952523752","-0.930840594","-0.944303112","-0.904665418","-0.944605127","-0.951777100","-0.960733122","-0.980740847","-0.953263433","-0.960447373","-0.949278890","-0.926616373","-0.949418001","-0.953791513","-0.809688545","-0.951863595","-0.966917594","-0.937106921","-0.971923623","-0.962284921"
"tBodyGyroMag-std()","-0.18697836","-0.55301992","-0.56151068","-0.55311611","-0.49217682","-0.36560292","-0.19828317","-0.23874670","-0.48972581","-0.40202514","-0.55836278","-0.41320834","-0.25324007","-0.20140193","-0.42579847","-0.66507840","-0.52249476","-0.60851009","-0.02184632","-0.03678532","-0.40830443","-0.39077568"," 0.16334645","-0.56386321","-0.48980939","-0.53832929","-0.48245236","-0.46051166","-0.35881410","-0.26684573","-0.14861932","-0.37753217","-0.40888665","-0.51097413","-0.35468787","-0.19989371","-0.41814485","-0.10932792","-0.42583976","-0.11306267","-0.37790986","-0.52568695","-0.41565861"," 0.29997598","-0.28842901","-0.51818965","-0.44083726","-0.52805813","-0.26440144","-0.25392999","-0.42023600","-0.20255818","-0.36673299","-0.50392906","-0.38775412","-0.51403241","-0.50177543","-0.47692334","-0.08004762","-0.16929353","-0.22572437","-0.27484411","-0.24579470","-0.38057263","-0.36067831","-0.04262768","-0.25975160","-0.04662919","-0.32233146","-0.28038285","-0.33934983","-0.32045863","-0.23676263","-0.06651446","-0.28424971","-0.42231532","-0.35268728","-0.50799548"," 0.23782123","-0.03057624","-0.38842033","-0.26392198"," 0.05399729","-0.36369488","-0.38216092","-0.29615829","-0.30795209","-0.22448414","-0.26740980","-0.20826754","-0.93453184","-0.96131362","-0.92551810","-0.92889829","-0.93141481","-0.92125947","-0.89806331","-0.95300163","-0.90660632","-0.96306458","-0.95996449","-0.94676924","-0.96394059","-0.94708116","-0.96347507","-0.93794240","-0.97541025","-0.98137268","-0.95049181","-0.94106991","-0.97122506","-0.93326849","-0.93700610","-0.96925716","-0.97063913","-0.96474202","-0.97078213","-0.95106598","-0.97157802","-0.96064129","-0.97869003","-0.95394338","-0.88212522","-0.88514432","-0.86704171","-0.91589157","-0.91843896","-0.95322479","-0.90829140","-0.92048681","-0.97707144","-0.85227162","-0.94498020","-0.93142620","-0.93128678","-0.96410577","-0.97768084","-0.95979712","-0.93795103","-0.84368341","-0.94561440","-0.90077656","-0.92379657","-0.95310478","-0.95988427","-0.96265359","-0.96569333","-0.87691755","-0.97535867","-0.88724764","-0.81901017","-0.96116405","-0.95427511","-0.94703178","-0.95828792","-0.92091450","-0.91866246","-0.93247076","-0.89855787","-0.92747117","-0.95471318","-0.93572572","-0.94468748","-0.91343319","-0.92404301","-0.95902004","-0.95932550","-0.98056088","-0.95590665","-0.96215360","-0.94928915","-0.92391157","-0.95722759","-0.95782993","-0.85601737","-0.96567682","-0.97191573","-0.92894091","-0.97704009","-0.95126444"
"tBodyGyroMag-mad()","-0.062362373","-0.529044592","-0.517671030","-0.498310692","-0.441387121","-0.319484878","-0.182243344","-0.125686426","-0.432959259","-0.322770953","-0.500272634","-0.337706176","-0.199268290","-0.113305720","-0.354550972","-0.624524163","-0.458675850","-0.568243742"," 0.099516399"," 0.042179709","-0.351878631","-0.298578991"," 0.191552281","-0.540021221","-0.427313532","-0.485665344","-0.436518156","-0.387221347","-0.277926414","-0.136911126","-0.040558235","-0.313155121","-0.354803525","-0.465924799","-0.290119265","-0.128513187","-0.358575810","-0.029657849","-0.359091064","-0.018410212","-0.310487452","-0.484007444","-0.348845534"," 0.374744658","-0.221907200","-0.466949673","-0.380699964","-0.484693794","-0.186494214","-0.186758983","-0.354774473","-0.132823385","-0.307377297","-0.444121448","-0.325107525","-0.456006150","-0.457047286","-0.419914296","-0.005022905","-0.065921828","-0.155348984","-0.210738830","-0.190118820","-0.311464340","-0.317002160"," 0.042010045","-0.199905809"," 0.044497823","-0.250500376","-0.215889364","-0.289940317","-0.246492117","-0.186695047"," 0.003626621","-0.221902214","-0.370048244","-0.274790013","-0.469435273"," 0.377963725"," 0.059160434","-0.328376242","-0.180393011"," 0.060514621","-0.295627180","-0.308032164","-0.228002005","-0.246019741","-0.158015229","-0.221418798","-0.132313951","-0.923507247","-0.956461793","-0.916029695","-0.923347316","-0.929121424","-0.920524367","-0.882497024","-0.946745526","-0.894956836","-0.956751771","-0.955707203","-0.942803591","-0.959021787","-0.940836519","-0.960285456","-0.933793918","-0.972571513","-0.978617842","-0.944747402","-0.938520031","-0.967967853","-0.930895516","-0.933873343","-0.966415033","-0.967289125","-0.959719121","-0.966938775","-0.947300030","-0.967662842","-0.954280180","-0.975841134","-0.954621207","-0.873845702","-0.878716135","-0.858401653","-0.918683137","-0.914270057","-0.949806018","-0.901227036","-0.915446675","-0.975882090","-0.841344246","-0.943467907","-0.926320686","-0.923790777","-0.961277065","-0.975777305","-0.954480675","-0.931827742","-0.835898156","-0.941521206","-0.894472473","-0.915970822","-0.950077208","-0.958123952","-0.961191903","-0.963854428","-0.864727047","-0.974513162","-0.880935451","-0.834516997","-0.956437945","-0.950223007","-0.939716569","-0.952875665","-0.915118535","-0.913216518","-0.928966285","-0.892811455","-0.924510234","-0.951306616","-0.931929725","-0.939885002","-0.908800889","-0.922340505","-0.953565519","-0.956335585","-0.978701801","-0.950544964","-0.960549114","-0.942641778","-0.916688690","-0.951060512","-0.954137392","-0.835520636","-0.960300208","-0.967662485","-0.923961690","-0.972952456","-0.949104278"
"tBodyGyroMag-max()","-0.35067531","-0.54365147","-0.57987536","-0.63096611","-0.53256996","-0.37136251","-0.22197281","-0.33800590","-0.52628535","-0.44977525","-0.62474302","-0.49919658","-0.26958380","-0.34436136","-0.50172907","-0.68518340","-0.58227392","-0.64626722","-0.15834727","-0.07110147","-0.45269571","-0.46336460"," 0.09305288","-0.53146522","-0.57515309","-0.57492302","-0.53119278","-0.53462766","-0.48358811","-0.36205103","-0.31913903","-0.44342812","-0.47887022","-0.52943026","-0.41435970","-0.28188365","-0.48817206","-0.18900022","-0.44971172","-0.22981378","-0.48744101","-0.54716220","-0.47417167"," 0.21625477","-0.41202013","-0.56384451","-0.49535893","-0.58086781","-0.31414638","-0.24816592","-0.48025890","-0.33343621","-0.39050184","-0.55297957","-0.50249104","-0.55082522","-0.54369763","-0.50458685","-0.21459515","-0.31713809","-0.26411372","-0.32241816","-0.33440399","-0.45068678","-0.36760337","-0.12720445","-0.26875502","-0.09541848","-0.36483975","-0.30346957","-0.40306598","-0.38420463","-0.21401582","-0.09953562","-0.33122425","-0.48781052","-0.42589209","-0.54502574"," 0.10545911","-0.12080996","-0.41757863","-0.36924547"," 0.12836512","-0.41534534","-0.45306542","-0.36854737","-0.37027309","-0.23902403","-0.31501194","-0.31039893","-0.95208367","-0.96499986","-0.93817235","-0.93793065","-0.93678370","-0.92303641","-0.92288767","-0.95846646","-0.92295948","-0.96758993","-0.96460987","-0.95047232","-0.96878463","-0.95719329","-0.96768037","-0.94929314","-0.97815190","-0.98471396","-0.95691238","-0.94478772","-0.97402205","-0.94168090","-0.94173072","-0.97258931","-0.97533350","-0.97099876","-0.97507465","-0.95782581","-0.97513937","-0.96907604","-0.98262499","-0.95605223","-0.90140937","-0.90309024","-0.89222597","-0.92121449","-0.93392748","-0.95734640","-0.92331747","-0.93203407","-0.98093605","-0.88680302","-0.95193047","-0.94156839","-0.94924709","-0.97209251","-0.98124900","-0.96962096","-0.95110387","-0.86999883","-0.95411144","-0.91989145","-0.94194045","-0.95953682","-0.96500512","-0.96642551","-0.97076875","-0.90267323","-0.97894354","-0.90754058","-0.82981882","-0.96648828","-0.95830809","-0.95394800","-0.96305119","-0.92456355","-0.92829237","-0.93385922","-0.90970961","-0.93403181","-0.96076248","-0.93625027","-0.95193203","-0.91602099","-0.93607002","-0.96535770","-0.96375600","-0.98334519","-0.96282254","-0.96370854","-0.95850014","-0.93787468","-0.96443640","-0.96030005","-0.87812275","-0.97023692","-0.97738293","-0.93839081","-0.98245895","-0.95784725"
"tBodyGyroMag-min()","-0.55763928","-0.64585351","-0.61430604","-0.69005468","-0.56918322","-0.47937934","-0.66098820","-0.38447156","-0.48892464","-0.36797122","-0.67133438","-0.61000479","-0.54489585","-0.58715744","-0.49813593","-0.63269487","-0.58754095","-0.59719447","-0.34625678","-0.32164207","-0.51877635","-0.49222349","-0.49866221","-0.47773286","-0.62853230","-0.61514422","-0.66117023","-0.59952021","-0.61312605","-0.30407391","-0.54169776","-0.44709085","-0.64907639","-0.30465193","-0.55758514","-0.48747678","-0.46282631","-0.13261204","-0.02948271","-0.38030049","-0.51969831","-0.31477070","-0.43280814","-0.05406869","-0.53705094","-0.35817843","-0.40758988","-0.49513285","-0.36882836","-0.23285438","-0.46221904","-0.54362030","-0.37491241","-0.44681688","-0.59758022","-0.46488088","-0.37228384","-0.47118167","-0.23698479","-0.43059272","-0.37179248","-0.48363518","-0.52800266","-0.65622757","-0.50419627","-0.34181824","-0.57046656","-0.30441225","-0.49204415","-0.32158795","-0.44317686","-0.52224419","-0.43128412","-0.31808857","-0.32482595","-0.49813874","-0.49430007","-0.52910917","-0.18185421","-0.31613269","-0.38897641","-0.45633243","-0.34089584","-0.62241605","-0.39753889","-0.51830916","-0.49211699","-0.37130487","-0.37400357","-0.34187926","-0.91876672","-0.91899164","-0.91603399","-0.92779622","-0.94465249","-0.94173960","-0.88953918","-0.90536682","-0.92530145","-0.91382478","-0.93650600","-0.95300357","-0.94010137","-0.94977969","-0.95211562","-0.94142642","-0.95098035","-0.97773324","-0.93000403","-0.93291156","-0.96135294","-0.94717457","-0.92457812","-0.96159456","-0.96248045","-0.94696634","-0.95306216","-0.97056856","-0.94773251","-0.95882553","-0.97663727","-0.97111247","-0.93950866","-0.92956879","-0.93940328","-0.96982957","-0.97390440","-0.95459674","-0.95484584","-0.95697309","-0.98562878","-0.95033773","-0.97793252","-0.96974530","-0.97062657","-0.98444096","-0.98295001","-0.97945005","-0.95605254","-0.94646723","-0.97238325","-0.96879373","-0.97323496","-0.96862796","-0.97882631","-0.97239264","-0.97557972","-0.95525709","-0.98850406","-0.95793007","-0.90967795","-0.93723852","-0.94826695","-0.91143912","-0.93645672","-0.90601151","-0.89400257","-0.92131808","-0.94155697","-0.94693186","-0.94181338","-0.93516066","-0.93990978","-0.89270271","-0.95762232","-0.94427521","-0.96327714","-0.98650581","-0.96008566","-0.95316224","-0.95897333","-0.93014888","-0.95076214","-0.95360118","-0.77249478","-0.93352765","-0.96056166","-0.94888132","-0.96698976","-0.97094238"
"tBodyGyroMag-sma()","-0.160979553","-0.446549093","-0.466411754","-0.497792201","-0.355933084","-0.281207841","-0.305959351","-0.003102438","-0.294542267","-0.156458730","-0.421801674","-0.355930365","-0.218669558","-0.137208742","-0.243711124","-0.485931933","-0.335009837","-0.500471148"," 0.100045071"," 0.068627515","-0.284775645","-0.210608044","-0.012096826","-0.403064157","-0.394362401","-0.392092024","-0.396638754","-0.310775946","-0.280573268","-0.022964080","-0.126735590","-0.219713473","-0.347321812","-0.299779408","-0.235516929","-0.129121244","-0.239099166"," 0.166447991","-0.083323449"," 0.043857385","-0.255048337","-0.316561586","-0.237182958"," 0.365779419","-0.201217274","-0.308260568","-0.235191249","-0.369108600","-0.061615771"," 0.022330254","-0.168982721","-0.128031924","-0.156527149","-0.334435840","-0.318634700","-0.344427048","-0.286145720","-0.263415283"," 0.043962768","-0.113608367","-0.075741254","-0.162188587","-0.215294501","-0.346606293","-0.218029835"," 0.014267782","-0.188740819"," 0.099342974","-0.168921401","-0.023846804","-0.197883360","-0.213351511","-0.102114481"," 0.166340012","-0.121686321","-0.309820427","-0.232641763","-0.381022815"," 0.418004609"," 0.093841944","-0.184850020","-0.161333310"," 0.039091548","-0.304965806","-0.216082566","-0.235314623","-0.164783207","-0.068246324","-0.122968109","-0.095537321","-0.930892490","-0.946035087","-0.919354372","-0.926063314","-0.934301647","-0.932703812","-0.897870535","-0.932682243","-0.903235537","-0.944202044","-0.951884472","-0.941907241","-0.951142644","-0.942756369","-0.957331628","-0.946417382","-0.967177744","-0.977634992","-0.942229044","-0.939574436","-0.964971114","-0.942077433","-0.936593427","-0.964633252","-0.966568719","-0.954052946","-0.963565474","-0.955175567","-0.962377332","-0.955847324","-0.976493793","-0.963466342","-0.892089349","-0.900982101","-0.900671631","-0.939404744","-0.943425565","-0.952848497","-0.921030223","-0.929787260","-0.979978011","-0.888101373","-0.957825372","-0.943530017","-0.946961381","-0.972528178","-0.978184577","-0.963006793","-0.941745041","-0.883675029","-0.949837152","-0.931624304","-0.938430293","-0.954518594","-0.967077443","-0.968673956","-0.968702957","-0.894242470","-0.980657340","-0.913890565","-0.874759548","-0.950011570","-0.951564751","-0.930236463","-0.946938301","-0.908980175","-0.915793635","-0.924253349","-0.907125100","-0.937590999","-0.952523752","-0.930840594","-0.944303112","-0.904665418","-0.944605127","-0.951777100","-0.960733122","-0.980740847","-0.953263433","-0.960447373","-0.949278890","-0.926616373","-0.949418001","-0.953791513","-0.809688545","-0.951863595","-0.966917594","-0.937106921","-0.971923623","-0.962284921"
"tBodyGyroMag-energy()","-0.61163892","-0.84102026","-0.85165945","-0.85824395","-0.78633195","-0.72206161","-0.70352818","-0.49900162","-0.74879730","-0.64934534","-0.82916107","-0.77449362","-0.65921967","-0.59808411","-0.70746344","-0.87110742","-0.77928018","-0.87241096","-0.34826718","-0.38580453","-0.73412787","-0.68433280","-0.39962469","-0.82072169","-0.80708894","-0.81208056","-0.80669539","-0.75158651","-0.72434742","-0.51967051","-0.57238590","-0.68322073","-0.76024167","-0.75555553","-0.69298366","-0.58375347","-0.70339001","-0.31451627","-0.58753984","-0.42659057","-0.70820669","-0.76416937","-0.70141556"," 0.01965686","-0.65213856","-0.75983350","-0.70196158","-0.79540437","-0.54328542","-0.47116156","-0.65593719","-0.58828058","-0.63737374","-0.77366008","-0.74444249","-0.78127590","-0.74012516","-0.72395448","-0.41573624","-0.56524644","-0.54935333","-0.61852688","-0.64596141","-0.75757317","-0.68124960","-0.42164600","-0.63751858","-0.35801077","-0.63973329","-0.52044466","-0.65673282","-0.66424691","-0.56973203","-0.28855836","-0.59720556","-0.74773198","-0.68706700","-0.79350535"," 0.09500789","-0.35821233","-0.66281539","-0.62483401","-0.38293594","-0.73492055","-0.68075396","-0.67921578","-0.63222865","-0.54011312","-0.58626589","-0.55787869","-0.98970512","-0.99417198","-0.98876273","-0.99273061","-0.99351496","-0.99398439","-0.98163534","-0.99260688","-0.98745799","-0.99373605","-0.99578328","-0.99557416","-0.99568695","-0.99459197","-0.99684212","-0.99158267","-0.99739490","-0.99869352","-0.99419146","-0.99380892","-0.99713935","-0.99455648","-0.99257068","-0.99760707","-0.99769825","-0.99584402","-0.99692595","-0.99708600","-0.99649561","-0.99633534","-0.99903934","-0.99778008","-0.98866808","-0.98829992","-0.98613254","-0.99504316","-0.99447494","-0.99590277","-0.99141505","-0.99446594","-0.99941428","-0.97845937","-0.99709395","-0.99526972","-0.99523619","-0.99865090","-0.99914559","-0.99853370","-0.99531516","-0.98473234","-0.99553872","-0.99451957","-0.99484982","-0.99754540","-0.99792878","-0.99837256","-0.99832204","-0.98858507","-0.99942199","-0.99183818","-0.96463356","-0.99506674","-0.99596238","-0.99287200","-0.99551935","-0.98700882","-0.98908079","-0.99050690","-0.99011825","-0.99103496","-0.99449413","-0.99315783","-0.99515254","-0.98650833","-0.99283757","-0.99584349","-0.99650588","-0.99922791","-0.99668926","-0.99692236","-0.99578939","-0.98846770","-0.99660080","-0.99697600","-0.97109346","-0.99479104","-0.99679530","-0.99332302","-0.99744302","-0.99699162"
